T,U
24,0.855
25,0.927
26,0.973
27,1.029
28,1.064
29,1.107
30,1.159
31,1.202
35,1.375
36,1.423
37,1.460
38,1.506
39,1.543
40,1.585
41,1.625
42,1.666
43,1.710
44,1.760
45,1.795
46,1.840
47,1.883
48,1.950
49,1.974
50,2.021
51,2.065
52,2.120
53,2.170
54,2.225
55,2.275
56,2.325
57,2.374
58,2.425
59,2.480
60,2.535
61,2.595
62,2.640
63,2.693
64,2.735
65,2.785
66,2.837
67,2.885
68,2.935
69,2.991
70,3.038
71,3.090
72,3.144
73,3.186
74,3.237
75,3.285
76,3.330
77,3.380
78,3.439
79,3.478
80,3.528
81,3.575
82,3.620
83,3.668
84,3.714
85,3.760
86,3.807
87,3.848
88,3.883
31,1.198
32,1.241
33,1.282
34,1.325
35,1.364
36,1.407
37,1.446
38,1.488
39,1.529
40,1.575
41,1.611
42,1.654
43,1.696
44,1.736
45,1.780
46,1.822
47,1.864
48,1.907
49,1.950
50,1.992
51,2.040
52,2.090
53,2.137
54,2.183
55,2.238
56,2.384
57,2.338
58,2.388
59,2.435
60,2.488
61,2.536
62,2.588
63,2.638
64,2.686
65,2.738
66,2.785
67,2.836
68,2.888
69,2.935
70,2.989
71,3.041
72,3.088
73,3.144
74,3.194
75,3.245
76,3.296
77,3.341
78,3.392
79,3.445
80,3.491
81,3.541
82,3.588
83,3.631
84,3.688
85,3.739
86,3.777
87,3.833
