T,R_C,R_Ni,R_Pt
86,,,134
85,,,
84,,,
83,,,
82,,,
81,,,
80,102,150,133
79,,,
78,,149,132
77,102,,132
76,102,148,132
75,,147,131
74,102,146,131
73,,145,130
72,102,144,130
71,102,144,129
70,102,143,129
69,102,143,129
68,102,142,129
67,102,141,128
66,102,140,128
65,,,127
64,,139,
63,102,,
62,,,126
61,102,138,
60,,137,125
59,102,,
58,,136,124
57,102,,124
56,102,135,
55,102,135,123
54,102,134,123
53,,,
52,102,133,122
51,102,133,122
50,102,132,122
49,102,132,121
48,102,131,121
47,102,130,121
46,102,130,120
45,102,129,120
44,102,128,119
43,,128,119
42,102,127,118
41,102,127,118
