T,R_C,R_Ni,R_Pt
24,102,116,111
25,102,118,
26,,,115
27,102,120,
28,,,116
29,,,
30,,,
31,102,,
32,,122,
33,,,117
34,102,124,
35,,,118
36,102,,
37,,125,
38,,,119
39,,,
40,102,,
41,,127,
42,,,120
43,102,,
44,,129,
45,,,121
46,102,,
47,,130,
48,,,122
49,102,131,123
50,102,,
51,,132,123
52,102,133,123
53,102,133,
54,102,134,124
55,102,134,124
56,102,134,125
57,102,135,125
58,102,135,125
59,102,136,126
60,102,137,126
61,102,137,126
62,102,138,127
63,102,139,128
64,102,139,128
65,102,140,128
66,102,141,129
67,102,142,129
68,102,142,
69,102,143,130
70,102,143,130
71,102,144,131
72,102,144,131
73,102,145,131
74,102,145,131
75,102,146,132
76,102,146,132
77,102,147,132
78,102,148,133
79,102,149,132
80,102,150,134
81,102,151,134
82,102,151,135
83,102,152,135
84,102,152,136
85,102,153,136
86,102,153,136
